"Entidade";"Data Pagto";"Tipo Pessoa";"CPF/CNPJ";"Nome Favorecido";"Processo";"Descrição da Despesa";"NF/Documento";"Valor Bruto(em R$)";"Valor Retido(em R$)";"Valor Líquido(em R$)"
"EPTC";"02/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1167";"2.166,00";"108,30";"2.057,70"
"EPTC";"02/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1149";"1.050,00";"52,50";"997,50"
"EPTC";"02/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1162";"5.000,00";"250,00";"4.750,00"
"EPTC";"02/01/2017";"CNPJ";"87339347000141";"METALICA INDUSTRIA E COM. DE METAIS LTDA";"O.C:105259";"MANUTENCAO E CONSERVACAO";"1892";"1.302,00";"0,00";"1.302,00"
"EPTC";"02/01/2017";"CNPJ";"3230856000141";"M.F. MACHADO SOARES";"O.C:105089";"MATERIAL DE EXPEDIENTE";"13892";"517,00";"0,00";"517,00"
"EPTC";"02/01/2017";"CNPJ";"92691336000166";"CREDITO REAL (CONSTRUTORA SCORZA LTDA)";"CON:29/2006";"ALUGUEIS";"12";"8.505,70";"0,00";"8.505,70"
"EPTC";"02/01/2017";"CNPJ";"91777078000172";"S.PLESNIK COMERCIO LOCACOES LTDA";"CON:1/2016";"MATERIAL DE EXPEDIENTE";"1002";"9.500,00";"0,00";"9.500,00"
"EPTC";"02/01/2017";"CNPJ";"92973791000154";"ADALBERTO O. DE SOUZA";"CON:32/2008";"ALUGUEIS";"12";"7.691,44";"0,00";"7.691,44"
"EPTC";"02/01/2017";"CNPJ";"92973791000154";"ADALBERTO O. DE SOUZA";"CON:1/2008";"ALUGUEIS";"12";"7.691,44";"0,00";"7.691,44"
"EPTC";"02/01/2017";"CNPJ";"8517489000185";"TRTW INFORMATICA LTDA";"CON:16/2014";"SERVICOS MANUTENCAO REDE/MICRO";"34";"1.974,20";"160,89";"1.813,31"
"EPTC";"02/01/2017";"CNPJ";"88001086000118";"ADM DE IMÓVEIS CERTA (OLINDA B. HENKE T";"CON:5/2011";"ALUGUEIS";"12";"6.558,41";"0,00";"6.558,41"
"EPTC";"02/01/2017";"CNPJ";"88094016000151";"MACOL CONSTRUTORA LTDA.";"CON:11/2011";"ALUGUEIS";"12";"16.965,07";"0,00";"16.965,07"
"EPTC";"02/01/2017";"CNPJ";"92568856000186";"GUSTAVO Z. GRAPIGLIA-ADM E PART LTDA";"CON:18/2011";"ALUGUEIS";"12";"33.582,89";"0,00";"33.582,89"
"EPTC";"02/01/2017";"CNPJ";"92922137000111";"GARAGEM SANTA TEREZINHA";"CON:1/2012";"ALUGUEIS";"12";"11.880,69";"0,00";"11.880,69"
"EPTC";"02/01/2017";"CNPJ";"8829940000108";"GABRIELA TORRES RAUBER";"O.C:104660";"MATERIAL DE LIMPEZA";"9332";"774,32";"0,00";"774,32"
"EPTC";"03/01/2017";"CNPJ";"92959600000280";"ESCOLA TECNICA JOSE CESAR DE MESQUITA";"CON:36/2015";"JOVEM APRENDIZ";"12";"53.580,42";"0,00";"53.580,42"
"EPTC";"04/01/2017";"CNPJ";"15321819000128";"AGENOR & SILVIO TRANSPORTES LTDA";"CON:11/2015";"LOCACAO DE VEICULOS";"85";"7.108,56";"198,33";"6.910,23"
"EPTC";"04/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1174";"1.637,10";"81,86";"1.555,24"
